,option,amount
71,option 1,2.3949999999999996
72,option 1,1.9824999999999982
73,option 1,1.5300000000000011
74,option 1,1.9299999999999997
75,option 1,1.7950000000000017
76,option 3,2.405000000000001
77,option 3,-3.045
78,option 3,1.7725000000000009
79,option 3,3.3725000000000005
80,option 3,3.005000000000001
81,option 3,-0.45750000000000135
82,option 3,0.4125000000000014
83,option 3,-1.7649999999999988
84,option 3,1.7399999999999984
85,option 3,0.5500000000000007
86,option 3,1.7074999999999996
87,option 3,3.235000000000001
88,option 3,3.5374999999999996
89,option 3,3.1525
90,option 3,2.647499999999999
91,option 3,2.657499999999999
92,option 3,3.0150000000000006
93,option 3,1.9999999999999982
94,option 3,-1.6199999999999992
95,option 1,0.8499999999999979
96,option 1,2.2775
97,option 1,1.7200000000000024
98,option 1,2.1450000000000014
99,option 1,0.042500000000000426
100,option 1,2.2775
101,option 1,0.4975000000000023
102,option 1,2.2225
103,option 1,3.344999999999999
104,option 1,2.537499999999998
105,option 1,2.967500000000001
106,option 1,4.199999999999999
107,option 1,0.14750000000000085
108,option 1,4.2075
109,option 1,3.6950000000000003
110,option 1,3.9049999999999976
111,option 1,3.9750000000000014
112,option 1,6.057500000000001
113,option 1,2.4274999999999984
114,option 1,2.477499999999999
115,option 1,0.7200000000000024
116,option 1,3.4499999999999993
117,option 1,1.9024999999999999
118,option 1,0.3625000000000007
119,option 1,2.542500000000004
120,option 1,2.9975000000000023
121,option 1,3.164999999999999
122,option 1,5.077500000000004
123,option 1,7.207499999999996
124,option 1,6.945
125,option 1,5.524999999999999
126,option 1,7.100000000000001
127,option 1,7.105000000000004
128,option 1,7.647500000000001
129,option 1,0.1074999999999946
130,option 1,0.6774999999999984
131,option 3,3.892500000000002
132,option 3,0.2950000000000017
133,option 1,2.167499999999997
134,option 1,-1.2925000000000004
135,option 1,-0.8425000000000011
136,option 1,0.1875
137,option 1,1.6624999999999979
138,option 1,1.5024999999999977
139,option 1,3.289999999999999
140,option 1,0.005000000000002558
141,option 1,-0.9525000000000006
142,option 3,2.7024999999999935
143,option 1,0.12750000000000483
144,option 1,-2.3100000000000023
145,option 1,1.5799999999999983
146,option 1,3.155000000000001
147,option 1,0.5674999999999955
148,option 1,2.1825000000000045
149,option 1,2.727499999999999
150,option 1,5.1325
151,option 1,5.154999999999994
152,option 1,3.1325000000000003
153,option 1,2.594999999999999
154,option 1,3.102499999999999
155,option 1,1.9400000000000048
156,option 1,0.884999999999998
157,option 1,0.35250000000000625
158,option 1,4.107500000000002
159,option 1,3.1499999999999986
160,option 1,4.792499999999997
161,option 1,6.207500000000003
162,option 1,2.219999999999999
163,option 1,2.960000000000001
164,option 1,6.115000000000002
165,option 1,2.365000000000002
166,option 1,3.809999999999995
167,option 1,2.950000000000003
168,option 1,1.9450000000000003
169,option 1,-1.9149999999999991
170,option 3,3.229999999999997
171,option 3,1.0349999999999966
172,option 3,2.75
173,option 3,-2.979999999999997
174,option 3,-0.8799999999999955
175,option 1,0.9400000000000048
176,option 1,8.134999999999998
177,option 3,5.759999999999998
178,option 3,8.405000000000001
